"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"juncturas","joints",,,,,,"articulații",,,,,,,,
"juxtaglomerularis","juxtaglomerular ",,,,,,"juxtaglomerulară",,,,,,,,
"juxtaglomerulocytus","juxtaglomerular cell",,"juxtaglomerulocyte","*",,,"juxtaglomerulocit",,"celulă juxtaglomerulară",,,,,,
"juxtamedullare","juxtamedullar",,,,,,"juxtamedular",,,,,,,,
"juxtapulpare","juxtapulpar",,,,,,"juxtapulpară",,,,,,,,
"juxtavagale","juxtavagal ",,,,,,"juxtavagal ",,,,,,,,
"karyokinesis","karyokinesis",,,,,,"cariochineză",,,,,,,,
"karyolyticus","karyolytic",,,,,,"cariolitic",,,,,,,,
"karyorhecticus","karyorhectic ",,,,,,"cariohectic",,,,,,,,
"keratini","keratin",,,,,,"cheratinic",,,,,,,,
"keratinocytus","keratinocyte",,,,,,"cheratinocit",,,,,,,,
"keratinum","keratin",,,,,,"cheratină",,,,,,,,
"keratocytus","keratocyte",,,,,,"cheratocit",,,,,,,,
"keratogenica","keratogenic",,,,,,"cheratogenică",,,,,,,,
"keratohyalini","keratohyaline ",,,,,,"cheratohialină",,,,,,,,
"kinesinum","kinesin",,,,,,"chinezină",,,,,,,,
"kinetochori","kinetochore ",,,,,,"chinetocor",,,,,,,,
"kinetochorus","kinetochore",,,,,,"chinetocor",,,,,,,,
"kinetosoma","kinetosome",,,,,,"kinetozom",,,,,,,,
"kinocilium","kinocilium",,"Motile cilium",,,,"kinocil",,"cil motil",,"chinocil",,,,
"lacrimarum","tear",,,,,,"lacrimal",,,,,,,,
"lacrimocytus","secretory cell of lacrimal gland",,"lacrimocyte",,,,"lacrimocit","r","celulă secretoare a glandei lacrimale",,,,,,
"lactantis","lactating",,,,,,"galactoforă",,,,,,,,
"lactea","milky",,,,,,"lactică",,,,,,,,
"lacteus","lacteal","*",,,,,"galactofor","rp",,,,,,,
"lageniformis","tennis racket",,"Flask shaped",,,,"în formă de pară",,"in formă de rachetă de tenis",,,,,,
"lamellare","lamellar",,,,,,"lamelar",,,,,,,,
"lamellaris","lamellar",,,,,,"lamelar",,,,,,,,
"lamellipodium","lamellipodium",,"Lamellar process",,,,"lamelopod","r","proces lamelar",,,,,,
"lamellosum","lamellar",,,,,,"lamelar",,,,,,,,
"lamina","layer ",,"lamina",,"plate",,"lamină","r","strat",,,,,,
"lamini","lamin",,,,,,"laminal",,,,,,,,
"lanceolata","palisade",,,,,,"lanceolată",,"în palisadă",,,,,,
"lanceolatum","lanceolate",,,,,,"lanceolat",,,,,,,,
"laryngeum","laryngeal ",,,,,,"laringian",,,,,,,,
"laxum","loose",,,,,,"lax",,,,,,,,
"lectuli","of nail bed",,,,,,"al patului unghial",,,,,,,,
"lectulus","nail bed",,,,,,"pat unghial",,,,,,,,
"leptomeningeum","leptomeningeal ",,,,,,"leptomeningeal ",,,,,,,,
"leptonema","leptotene",,,,,,"leptonemă","r",,,,,,,
"leptonemalis","leptotene",,,,,,"leptonemală","r",,,,,,,
"leucocytus","leucocyte",,"White blood cell",,,,"leucocit",,"celulă albă sangvină",,,,,,
"leve","smooth",,,,,,"neted",,,,,,,,
"levis","smooth",,,,,,"netedă",,,,,,,,
"levium","smooth",,,,,,"netede",,,,,,,,
"ligamen","linker",,,,,,"ligand",,"ligator",,,,,,
"ligans","binding",,,,,,"ligand",,,,,,,,
"lingualis","lingual ",,,,,,"linguală",,,,,,,,
"lipochromi","lipochrome",,,,,,"lipocromă",,,,,,,,
"lipofuscini","lipofuscin",,,,,,"lipofuscinică","r",,,,,,,
"lipoideus","lipoideus",,,,,,"lipoid",,,,,,,,
"loci","sites",,,,,,"situri",,,,,,,,
"longa","long",,"Thin-necked",,,,"lung",,,,,,,,
"longiaxonicum","with long axon",,,,,,"cu axon lung",,,,,,,,
"longum","long",,,,,,"lung",,,,,,,,
"lucida","lucent",,"Clear",,,,"translucidă",,,,,,,,
"lucidum","clear",,"lucidum",,,,"translucid",,,,,,,,
"lucidus","pale",,,,,,"translucidă","r","palidă",,,,,,
"lumen","lumen",,,,,,"lumen",,,,,,,,
"luminarium","luminal",,,,,,"luminal",,,,,,,,
"lutei","luteal",,,,,,"luteală",,,,,,,,
"luteocytus","endocrine luteal cell",,"luteocyte","*",,,"luteocit","r","celulă endocrină luteală",,,,,,
"luteogenesis","luteogenesis",,,,,,"luteogeneză",,,,,,,,
"luteolyticum","luteum",,,,,,"luteum",,"luteolitic",,,,,,
"lymphae","lymph",,,,,,"limfatică",,,,,,,,
"lymphaticum","lymphatic ",,,,,,"limfatic",,,,,,,,
"lymphaticus","lymphatic ",,,,,,"limfatic",,,,,,,,
"lymphocapillare","iymphocapillary ",,,,,,"limfocapilară",,,,,,,,
"lymphocytopoiesis","lymphocytopoiesis",,,,,,"limfocitopoieză",,,,,,,,
"lymphocytus","lymphocyte",,,,,,"limfocit",,,,,,,,
"lymphohaemalis","haemal lymph",,,,,,"limfosanvin","rp",,,,,,,
"Lymphonodus","lymph node",,,,,,"nod limfatic",,"ganglion limfatic",,,,,,
"lysosoma","lysosome",,,,,,"lizozom",,,,,,,,
"lysosomalis","lysosomal",,,,,,"lizozomal",,,,,,,,
"lysosomatica","lysosomal",,,,,,"lizozomale",,,,,,,,
"lysosomaticum","lysosomal ",,,,,,"lizozomal",,,,,,,,
"m","m",,,,,,"m",,,,,,,"m",
"macrocytus","macrocyte",,,,,,"macrocit",,,,,,,,
"macrophagocytica","macrophage ",,"macrophagocytic","*",,,"macrofagocitică",,,,,,,,
"macrophagocytos","macrophages",,,,,,"macrofage",,,,,,,,
"macrophagocytus","macrophage",,,,,,"macrofag",,,,,,,,
"macrophagos","macrophages ",,,,,,"macrofage",,,,,,,,
"macropinocytosis","macropinocytosis",,,,,,"macropinocitoză",,,,,,,,
"macropinosoma","macropinosome",,,,,,"macropinozom",,,,,,,,
"magnocellulare","magnocellular",,,,,,"magnocelular",,,,,,,,
"magnopyramidale","magnopyramidal ",,,,,,"magnopiramidal ",,,,,,,,
"majoris","greater",,,,,,"major",,,,,,,,
"manica","sleeve",,,,,,"mânecă","rp",,,,,,,
"manicula","manchette",,,,,,"manșetă","rp",,,,,,,
"masticatoria","masticatory ",,,,,,"masticatoare",,,,,,,,
"mastocytos","mast cells",,,,,,"mastocite",,,,,,,,
"matricalis","matrix",,,,,,"matriceală",,,,,,,,
"matricis","of matrix",,,,,,"matriceal",,"al matricei",,,,,,
"matris","mater",,,,,,"mater",,,,,,,,
"maturationis","maturational ",,,,,,"maturaționale","r",,,,,,,
"maturus","mature",,,,,,"matur",,,,,,,,
"mediopyramidale","mediopyramidal ",,,,,,"mediopiramidal ",,,,,,,,
"medullaris","medullary",,,,,,"medular",,,,,,,,
"plexus","plexus",,,,,,"plex",,,,,,,,
"megakaryoblastus","megakaryoblast",,,,,,"megacarioblast","r",,,,,,,
"megakaryocytopoiesis","megakaryocytopoiesis",,,,,,"megacariocitopoieză",,,,,,,,
"megakaryocytos","megakaryocytes ",,,,,,"megacariocite",,,,,,,,
"meiosis","meiosis",,,,,,"meioză",,,,,,,,
"meioticum","meiotic ",,,,,,"meiotic ",,,,,,,,
"meioticus","meiotic ",,,,,,"meiotic",,,,,,,,
"melaniferum","melanin ","*",,,,,"melanifer","r","melanocitic","rp",,,,,
"melanini","melanin",,,,,,"de melanină",,,,,,,,
"melanocytica","melanocytic",,,,,,"melanocitic","r",,,,,,,
"melanocytus","melanocyte",,,,,,"melanocit","r","celulă melanocitară",,,,,,
"melanosoma","melanosome",,,,,,"melanozom",,,,,,,,
"membranacea","membranous",,,,,,"membranoasă",,,,,,,,
"membranaformis","membrane-like ",,,,,,"membranoform","r",,,,,,,
"memoriae","memory",,,,,,"de memorie",,,,,,,,
"menstrualis","menstrual",,,,,,"menstruală",,,,,,,,
"menstruationis","of menstruation",,,,,,"menstrual",,,,,,,,
"merocrina","merocrine ",,,,,,"merocrină",,,,,,,,
"mesangialis","mesangial",,,,,,"mezangial",,,,,,,,
"mesangii","of mesangial cell",,,,,,"a mezangiului",,,,,,,,
"mesangiocytus","mesangial cell",,"mesangiocyte","*",,,"mezangiocit","r","celulă mezangială",,,,,,
"mesangium","mesangium",,,,,,"mezangiu",,,,,,,,
"mesaxon","mesaxon",,,,,,"mezaxon",,,,,,,,
"mesenchymatica","mesenchymal",,,,,,"mezenhimală",,,,,,,,
"mesophragma","mesophragma",,,,,,"mezofragmă","r",,,,,,,
"mesotendo","mesotendon",,,,,,"mezotendon",,,,,,,,
"mesotheliocytus","mesothelial cell",,"Mesotheliocyte",,,,"mezotelocit","r","celulă mezotelială",,,,,,
"mesothelium","mesothelium",,,,,,"mezoteliu",,,,,,,,
"metacentricum","metacentric ",,,,,,"metacentric ",,,,,,,,
"metachromaticum","metachromatic ",,,,,,"metacromatic",,,,,,,,
"metamyelocytus","metamyelocyte",,,,,,"metamielocit",,,,,,,,
"metaphasis","metaphase",,,,,,"metafază",,,,,,,,
"metaplasia","metaplasia",,,,,,"metaplazie",,,,,,,,
"metarteriola","metarteriole",,,,,,"metarteriolă",,,,,,,,
"microambientia","micro-environment",,,,,,"micro-mediu","r","micro-mediu",,,,,,
"microcytus","microcyte",,,,,,"microcit",,,,,,,,
"microfibrilla","microfibril",,,,,,"microfibrilă",,,,,,,,
"microfilamento","microfilament ",,,,,,"microfilamentului",,,,,,,,
"microfilamentum","microfilamentum",,,,,,"microfilament",,,,,,,,
"microglia","microglia",,,,,,"microglie",,,,,,,,
"microgliocytus","microglial cell",,"Microgliocyte",,,,"microgliocit",,"celulă microglială",,,,,,
"microneuron","microneuron",,,,,,"microneuron",,,,,,,,
"microparaganglion","microparaganglion",,,,,,"microparaganglion",,,,,,,,
"microplica","microridge",,,,,,"microplică","r",,,,,,,
"microplicatus","microfold",,"Ruffled",,,,"microplicaturat",,,,,,,,
"microspina","microspike",,,,,,"microspină",,,,,,,,
"microtubularis","microtubular ",,,,,,"microtubulară",,,,,,,,
"microtubulo","microtubule ",,,,,,"microtubulului",,,,,,,,
"microtubulum","microtubule ",,,,,,"microtubular",,,,,,,,
"microtubulus","microtubule",,,,,,"microtubul",,,,,,,,
"microvillosum","microvillous ",,,,,,"microvilos",,,,,,,,
"microvillosus","with microvilli",,"Microvillous",,"Microvillar",,"microvilos",,,,,,,,
"microvillus","microvillus",,,,,,"microvil",,,,,,,,
"mineralis","mineral",,,,,,"mineral",,,,,,,,
"mitochondriale","mitochondrial",,,,,,"mitocondrial",,,,,,,,
"mitochondrialis","mitochondrialis",,,,,,"mitocondrial",,,,,,,,
"mitochondrion","mitochondrion",,,,,,"mitocondrie",,,,,,,,
"mitoribosoma","mitoribosome",,,,,,"mitoribozom",,,,,,,,
"mitosis","mitosis",,,,,,"mitoză",,,,,,,,
"mitotica","mitotic",,,,,,"mitotică",,,,,,,,
"mitoticus","mitotic",,,,,,"mitotic",,,,,,,,
"mitrale","mitral",,,,,,"mitrală",,,,,,,,
"mixta","mixed",,,,,,"mixtă",,,,,,,,
"mixtotypica","hybrid type",,,,,,"de tip mixt",,"hibridă",,,,,,
"monoblastus","monoblast",,,,,,"monoblast",,,,,,,,
"monocytopoiesis","monocytopoiesis",,,,,,"monocitopoieză",,,,,,,,
"monocytus","monocyte",,,,,,"monocit",,"celulă monocitară",,,,,,
"mononuclearis","mononuclear",,,,,,"mononuclear",,,,,,,,
"mononucleata","mononucleate",,,,,,"mononucleată",,,,,,,,
"morphologia","morphology",,,,,,"morfologie",,,,,,,,
"moruliformis","mulberry shaped ",,,,,,"moruliform","r","muriform",,,,,,
"motoneuron","motor neuron",,,,,,"motoneuron","r","neuron motor",,,,,,
"motorium","motor",,,,,,"motor",,,,,,,,
"MTOC","mtoc",,"Microtubule organizing centre",,,,"comt",,"Centru organizator microtubular",,,,,,
"mucocytus","mucous cell",,"mucocyte","*",,,"mucocit","r","celulă mucoasă",,,,,,
"mucogingivalis","mucogingival ",,,,,,"mucogingivală",,,,,,,,
"mucoideus","mucoid",,,,,,"mucoid",,,,,,,,
"mucosa","mucous",,"Mucosal",,,,"mucoasă",,,,,,,,
"mucosalis","mucosa related",,,,,,"mucos",,,,,,,,
"mucosum","mucosal",,"Mucous",,,,"mucos",,,,,,,,
"multarum linearum","multilineage",,,,,,"multidescendență",,,,,,,,
"multicellularis","multicellular",,,,,,"multicelular",,,,,,,,
"multiforme","multiform ",,,,,,"multiform ",,,,,,,,
"multiguttularis","multilocular ",,"brown",,,,"multilocular",,"brună",,,,,,
"multilobatus","multilobed",,,,,,"multilobat",,,,,,,,
"multinuclearis","multinuclear",,,,,,"multinuclear",,,,,,,,
"multinucleata","multinucleate",,,,,,"multinucleată",,,,,,,,
"multipolare","multipolar",,,,,,"multipolar",,,,,,,,
"multipotens","multipotent",,,,,,"multipotentă",,,,,,,,
"multis","many",,,,,,"multe",,,,,,,,
"multistratificata","multilayered ",,,,,,"multistriată",,,,,,,,
"multitubulare","multitubular",,,,,,"multitubular",,,,,,,,
"multiunitaris","multi unit",,,,,,"multiunitar",,,,,,,,
"multivesiculare","multivesicular",,,,,,"multivesiculară",,,,,,,,
"muralium","muralium",,,,,,"muraliu","r",,,,,,,
"muscosa","mossy",,,,,,"mușchioasă","r",,,,,,,
"muscosae","mossy",,,,,,"mușchioase","r",,,,,,,
"muscularis","muscle",,"muscularis",,,,"musculară",,,,,,,,
"myelinata","myelinated ",,,,,,"mielinică",,,,,,,,
"myelinatarum","myelinated ",,,,,,"mielinice",,,,,,,,
"myelinatum","myelinatum",,,,,,"mielinic",,,,,,,,
"myelinatus","myelinating ",,,,,,"mielinizant",,,,,,,,
"myelini","myelin ",,,,,,"mielinică",,,,,,,,
"myelinopoieticus","myelinating ",,"Myelinizing",,,,"mielinopoietic","r","mielinizant",,,,,,
"myeloblastus","myeloblast",,,,,,"mieloblast",,,,,,,,
"myelocytus","myelocyte",,,,,,"mielocit",,,,,,,,
"myeloideus","myeloid",,,,,,"mieloid",,,,,,,,
"myoblastus","myoblast",,,,,,"mioblast",,,,,,,,
"myocardii","of myocardium",,,,,,"al miocardului",,,,,,,,
"myocardium","myocardium",,,,,,"miocard",,,,,,,,
"myocytoprogenetrix","myocytoprogenitor ",,,,,,"miocitoprogenitoare",,,,,,,,
"myocytorum","of muscle cells",,,,,,"a miocitelor",,"a celulelor miocitare",,"a celulelor musculare",,,,
"myocytus","myocyte",,,,,,"miocit",,"celulă miocitară",,"celulă musculară",,,,
"myoelasticum","myoelastic",,,,,,"mioelastic",,,,,,,,
"myoepitheliale","myoepithelial",,,,,,"mioepitelial",,,,,,,,
"myoepitheliocytus","myoepithelial cell",,"myoepitheliocyte","*",,,"mioepitelocit","r","celulă mioepitelială",,,,,,
"myofibra","myofibre",,,,,,"miofibră",,,,,,,,
"myofibrilla","myofibril",,,,,,"miofibrilă",,,,,,,,
"myofibroblastus","myofibroblast",,,,,,"miofibroblast",,,,,,,,
"myofilamentum","myofilament",,,,,,"miofilament",,,,,,,,
"myogenica","myogenic",,,,,,"miogenică",,,,,,,,
"myohistogenesis","myohistogenesis",,,,,,"miohistogeneză",,,,,,,,
"myoid","myoid",,,,,,"mioid","r",,,,,,,
"myoidea","myoid",,,,,,"mioidă","r",,,,,,,
"myoideum","myoid",,,,,,"mioid",,,,,,,,
"myomerum","myomere",,,,,,"miomer",,,,,,,,
"myomesinum","myomesin",,,,,,"miomezină",,,,,,,,
"myosatellitocytus","myosatellite cell",,"myosatellitocyte","*",,,"miosatelocit","r","celulă miosatelită",,,,,,
"myosini","myosin",,,,,,"miozinic",,,,,,,,
"myosinum","myosin",,,,,,"miozină",,,,,,,,
"myotendinea","myotendinous ",,,,,,"miotendinoasă",,,,,,,,
"myotubus","myotube",,,,,,"miotub",,,,,,,,
"myotypica","muscular",,"Muscular type",,,,"musculară",,"miotipică",,,,,,
"myotypicum","muscular",,,,,,"muscular",,"miotipic",,,,,,
"nanum","midget",,,,,,"pitic",,"mic",,,,,,
"naso","naso",,,,,,"nazo",,,,,,,,
"nasopharyngea","nasopharyngeal ",,,,,,"nazofaringiană",,,,,,,,
"nebulinum","nebulin",,,,,,"nebulină",,,,,,,,
"necatoria","natural killer",,"Cytotoxic",,,,"citotoxică",,"ucigașă","r",,,,,
"neonatalis","neonatal",,,,,,"neonatală",,,,,,,,
"nephroni","nephron",,,,,,"nefronică","r",,,,,,,
"nephronum","nephron",,,,,,"nefron",,,,,,,,
"neque","nor","*","neither","*",,,"nici",,,,,,,,
"nervosi","nerve ",,,,,,"nervos",,,,,,,,
"nestini","nestin",,,,,,"nestinic",,,,,,,,
"neurales","nerve ",,,,,,"neurale",,,,,,,,
"neuralis","neural",,,,,,"neural",,,,,,,,
"neurocrina","neurocrine",,,,,,"neurocrină",,,,,,,,
"neuroendocrina","neuroendocrine",,,,,,"neuroendocrină",,,,,,,,
"neuroendocrinocytus","neuroendocrine cell",,"neuroendocrinocyte","*",,,"neuroendocrinocit",,"celulă neuroendocrină",,,,,,
"neuroepitheliale","neuroepithelial ",,,,,,"neuroepitelial ",,,,,,,,
"neuroepithelialis","neuroepithelial ",,,,,,"neuroepitelială",,,,,,,,
"neurofibrilla","neurofibril",,,,,,"neurofibrilă",,,,,,,,
"neurofibrosum","neurofibrous","*",,,,,"neurofibros",,,,,,,,
"neurofilamentum","neurofilament",,,,,,"neurofilament",,,,,,,,
"neuroglandularis","neuroglandular ",,,,,,"neuroglandulară",,,,,,,,
"neuroglialis","neuroglial",,,,,,"neuroglială",,,,,,,,
"neuroglioforme","neuroglioform ",,,,,,"neuroglioform ",,,,,,,,
"neurohaemale","neurohaemal",,,,,,"neurohematic",,"neurosangvin",,,,,,
"neurohaemalis","neurohaemalis",,,,,,"neurohematică",,"neurosangvină",,,,,,
"neurohypophysiale","neurohypophysial ",,,,,,"neurohipofizar",,,,,,,,
"neurolemma","neurolemma",,"Neurilemma",,,,"neurolemă",,"neurilemă",,,,,,
"neurolemmocytus","neurolemmocyte",,,,,,"neurolemocit",,"celulă neurolemocitară",,,,,,
"neuromelanocytus","neuromelanin cell",,"neuromelanocyte","*",,,"neuromelanocit",,"celulă neuromelanocitară",,,,,,
"neuromuscularis","neuromuscular ",,,,,,"neuromuscular ",,,,,,,,
"neuronale","neuronal",,,,,,"neuronală",,,,,,,,
"neuronis","cell",,"neuron",,,,"neuron",,,,,,,,
"conifer","cone",,,,,,"cu conuri",,"conifer","r",,,,,
"neuropilus","neuropil",,,,,,"neuropil",,,,,,,,
"neurosecretans","neurosecretory ",,,,,,"neurosecretor",,,,,,,,
"neurosecretoria","neurosecretory ",,,,,,"neurosecretoare",,,,,,,,
"neurosecretorium","neurosecretory ",,,,,,"neurosecretor",,,,,,,,
"neurosensorius","neurosensory ",,,,,,"neurosenzorial",,,,,,,,
"neurosoma","nerve cell body",,"neurosome","*",,,"neurozom",,"corp celulă nervoasă",,,,,,
"neurothelialis","neurothelial ",,,,,,"neurotelial ",,,,,,,,
"neurotransmittens","neurotransmitter",,,,,,"neurotransmițător",,,,,,,,
"neurotubulus","neurotubule",,,,,,"neurotubul",,,,,,,,
"neurovascularis","neurovascular ",,,,,,"neurovasculară",,,,,,,,
"neutrophilum","neutrophilic",,,,,,"neutrofilică",,,,,,,,
"neutrophilus","neutrophilic ",,,,,,"neutrofil",,"neutrofilic",,,,,,
"nexini","nexin",,,,,,"nexinic",,,,,,,,
"nexinum","nexin",,,,,,"nexină",,,,,,,,
"nexus","nexus",,,,,,"nexus",,"conexiune",,,,,,
"nodalis","nodal",,,,,,"nodal",,,,,,,,
"nodulo","nodule",,,,,,"nodul",,,,,,,,
"non","non","*",,,,,"non",,,,,,,,
"nonstriatum","smooth ",,,,,,"neted",,,,,,,,
"nonstriatus","smooth ",,,,,,"neted",,,,,,,,
"noradrenalocytus","noradrenalocyte",,,,,,"noradrenalocit",,,,,,,,
"norepinephrocytus","norepinephrocyte",,,,,,"norepinefrocit",,,,,,,,
"normocytus","normocyte",,,,,,"normocit",,,,,,,,
"notochordalis","notochordal",,,,,,"notocordală",,,,,,,,
"novum","early",,,,,,"primar",,"nou",,"precoce",,,,
"nucleocytoplasmica","nucleocytoplasmic ",,,,,,"nucleocitoplasmatic",,,,,,,,
"nucleolare","nucleolar ",,,,,,"nucleolar ",,,,,,,,
"nucleoli","nucleolar ",,,,,,"nucleolară",,,,,,,,
"nucleolonema","nucleolonema",,,,,,"nucleolonemă",,,,,,,,
"nucleolum","nucleolar ",,,,,,"nucleolară",,,,,,,,
"nucleolus","nucleolus",,,,,,"nucleol",,,,,,,,
"nucleoplasma","nucleoplasm",,"Karyoplasm",,,,"nucleoplasmă",,"carioplasmă",,,,,,
"nucleosoma","nucleosome",,,,,,"nucleozom",,,,,,,,
"nucleosomatis","nucleosome",,,,,,"nucleozomală",,,,,,,,
"nuntii","messenger",,,,,,"mesager",,,,,,,,
"oblongata","oblongata",,,,,,"rectangulară","rp",,,,,,,
"obscura","dark",,,,,,"obscură",,,,,,,,
"obscuria","dark",,,,,,"obscură",,,,,,,,
"obturamentum","plug",,,,,,"obturator",,"dop",,,,,,
"occludens","occluding",,"occludens",,,,"ocluzivă","r","strânsă",,,,,,
"occludentium","fusion",,"Occluding",,,,"ocluzată","r",,,,,,,
"odontoblasti","odontoblast ",,,,,,"odontoblast ",,,,,,,,
"odontoblastus","odontoblast ",,,,,,"odontoblast ",,,,,,,,
"odontogenesis","odontogenesis",,,,,,"odontogeneză",,,,,,,,
"oesophagea","oesophageal",,,,,,"esofagiană",,,,,,,,
"oesophagi","oesophageal",,,,,,"esofagiană",,,,,,,,
"oesophagogastrointestinalis","oesophagogastrointestinal","*",,,,,"esofagogastrointestinal",,,,,,,,
"off-on","off-on",,,,,,"off-on",,,,,,,,
"oligodendrocytoprogenetrix","oligodendrocyte progenitor",,,,,,"oligodendrocito-progenitoare",,,,,,,,
"oligodendrocytus","oligodendrocyte",,,,,,"oligodendrocit",,,,,,,,
"oligodendroglia","oligodendroglia",,,,,,"oligodendroglie",,,,,,,,
"onychocytus","onychocyte",,,,,,"onicocit",,,,,,,,
"oocytus","oocyte",,,,,,"oocit",,,,,,,,
"oogenesis","oogenesis",,,,,,"oogeneză",,,,,,,,
"oogonium","oogonium",,,,,,"oogoniu","r",,,,,,,
"oophorus","oophorus",,,,,,"oofor",,"oophorus",,,,,,
"ootidium","ootid",,"Ovum",,,,"ootid",,,,,,,,
"operans","organizing",,,,,,"organizator",,,,,,,,
"orale","oral",,,,,,"oral",,,,,,,,
"ordinata","regulated ",,,,,,"ordonată",,"regulată",,,,,,
"ordo","row",,,,,,"rând",,,,,,,,
"organa","organs",,,,,,"organe",,,,,,,,
"organella","organelles",,,,,,"organule",,,,,,,,
"organula","organelles",,,,,,"organule",,,,,,,,
"orientationis","orientation",,,,,,"de orientare",,,,,,,,
"oropharyngea","oropharyngeal",,,,,,"orofaringiană",,,,,,,,
"osteoclastus","osteoclast",,,,,,"osteoclast",,,,,,,,
"osteocyti","osteocyte",,,,,,"osteocitară",,,,,,,,
"osteocytus","osteocyte",,,,,,"osteocit",,,,,,,,
"osteogenesis","osteogenesis",,,,,,"osteogeneză",,,,,,,,
"osteogenica","osteogenic ",,,,,,"osteogenic",,,,,,,,
"osteogenicum","osteogenicum",,,,,,"osteogenic",,,,,,,,
"osteoideum","osteoid",,,,,,"osteoid",,,,,,,,
"osteoni","osteonic",,,,,,"osteonic",,,,,,,,
"osteonum","osteon",,,,,,"osteon",,,,,,,,
"ovaricum","ovarian ",,,,,,"ovarian ",,,,,,,,
"ovoidea","ovoid",,,,,,"ovoidă",,,,,,,,
"ovoideum","ovoid ",,,,,,"ovoid",,,,,,,,
"ovoideus","ovoid ",,,,,,"ovoid",,,,,,,,
"ovulatoria","ovulatory",,,,,,"ovulatorie",,,,,,,,
"ovum","ovum",,,,,,"ovum",,,,,,,,
"oxynticus","oxyntic",,,,,,"oxintică",,,,,,,,
"oxyphilicus","oxyphil ",,,,,,"oxifilă",,,,,,,,
"oxytalanae","oxytalan",,,,,,"oxitalanică",,,,,,,,
"p","p",,,,,,"p",,,,,,,,
"pachytema","pachytene",,,,,,"pahitemă","r",,,,,,,
"pachytemalis","pachytene",,,,,,"pahitemal","r",,,,,,,
"palpabrae"," ",,,,,," ",,,,,,,,
"pancreaticus","pancreatic",,,,,,"pancreatic",,,,,,,,
"pancreatocytus","cell of pancreas",,"pancreatocyte",,,,"pancreatocit",,"celulă pancreatică",,,,,,
"panethensis","paneth ",,,,,,"paneth ",,,,,,,,
"paraaorticum","paraaortic ",,,,,,"paraaortic ",,,,,,,,
"parabasale","parabasal",,,,,,"parabazal",,,,,,,,
"parabasalis","parabasal",,,,,,"parabazală",,,,,,,,
"paracornificatum","parakeratinized",,,,,,"paracheratinizat",,,,,,,,
"paracortex","paracortical region",,,,,,"paracortex",,,,,,,,
"paracrina","paracrine",,,,,,"paracrină",,,,,,,,
"paradidymidis","paradidymidis",,,,,,"paradidim",,,,,,,,
"paraganglia","paraganglia",,,,,,"paraganglioni",,,,,,,,
"paragangliocytus","paraganglionic cell ",,"paragangliocyte",,,,"paragangliocit",,"celulă paraganglionică",,,,,,
"paraganglionica","paraganglionic",,,,,,"paraganglionică",,,,,,,,
"paraganglionicus","paraganglionic",,,,,,"paraganglionică",,,,,,,,
"parahilaris","parahilar",,,,,,"parahilară",,,,,,,,
"parallela","parallel",,,,,,"paralel",,,,,,,,
"paranodale","paranodal ",,,,,,"paranodal ",,,,,,,,
"paranodalis","paranodal ",,,,,,"paranodal ",,,,,,,,
"parapapillaris","parapapillary",,,,,,"parapapilar",,,,,,,,
"paratendo","paratendon",,"Peritendon",,,,"paratendon",,,,,,,,
"parathyrocytus","parathyroid cell",,"parathyrocyte",,,,"paratirocit",,"celulă paratiroidiană",,,,,,
"parathyroidea","parathyroid",,,,,,"paratiroidă",,,,,,,,
"paraurethralis","paraurethral",,,,,,"parauretral",,,,,,,,
"parenchymatica","parenchymal",,,,,,"parenchimatică",,,,,,,,
"parodontium","parodontium",,,,,,"parodonțiu","r",,,,,,,
"pars","part",,,,,,"parte",,"subunitate",,,,,,
"particula","particle",,,,,,"particulă",,,,,,,,
"parvae","small",,,,,,"mică",,,,,,,,
"parvocellulare","parvocellular",,,,,,"parvocelular",,,,,,,,
"parvopyramidale","parvopyramidal ",,,,,,"parvopiramidal",,,,,,,,
"parvum","small",,,,,,"mic",,,,,,,,
"pectinatum","pectinate",,,,,,"pectinat",,,,,,,,
"pellucida","pellucida",,,,,,"pelucidă",,,,,,,,
"penicillaris","penicillar",,,,,,"penicilară",,,,,,,,
"penicillatum","brush",,,,,,"penicilat",,,,,,,,
"penicillatus","brush",,,,,,"penicilat",,,,,,,,
"perforatum","perforated ",,,,,,"perforat",,,,,,,,
"perianalis","peri-anal",,,,,,"perianal",,,,,,,,
"periarteriolaris","periarteriolar ",,,,,,"periarteriolară",,,,,,,,
"periaxiale","peri-axial",,,,,,"periaxial",,,,,,,,
"periaxonale","periaxonal",,,,,,"periaxonal",,,,,,,,
"peribiliare","peribiliary",,,,,,"peribiliar",,,,,,,,
"peribiliaris","peribiliary",,,,,,"peribiliar",,,,,,,,
"peribronchiale","peribronchial ",,,,,,"peribronhial ",,,,,,,,
"pericellularis","pericellular ",,,,,,"pericelulară",,,,,,,,
"pericentriolaris","pericentriolar",,,,,,"pericentriolar",,,,,,,,
"perichondralis","perichondral",,,,,,"pericondral",,,,,,,,
"perichromatinea","perichromatin",,,,,,"pericromatinică","r",,,,,,,
"pericytus","pericyte",,,,,,"pericit",,,,,,,,
"periductalis","periductal",,,,,,"periductal",,,,,,,,
"perifascicularis","perifascicular ",,,,,,"perifascicular ",,,,,,,,
