"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"calycealis","calyceal",,,,,,"caliceal",,,,,,,,
"campanalis","bell",,,,,,"de clopot","rp",,,,,,,
"canaliculare","canalicular ",,,,,,"canalicular ",,,,,,,,
"canalium","canal",,,,,,"canalar",,,,,,,,
"candelarium","chandelier",,,,,,"candelar",,,,,,,,
"canistri","basket",,,,,,"al coșului",,,,,,,,
"canistrum","basket",,,,,,"coș",,,,,,,,
"capsula","capsule",,,,,,"capsulă",,,,,,,,
"capsulatum","encapsulated ",,,,,,"încapsulat",,,,,,,,
"cardiaca","cardiac ",,,,,,"cardiacă",,,,,,,,
"cardiacus","cardiac ",,,,,,"cardiac ",,,,,,,,
"cardiomyocytus","cardiomyocyte",,,,,,"cardiomiocit",,,,,,,,
"cardiomyofibra","cardiomyofibre",,,,,,"cardiomiofibră",,,,,,,,
"cardiomyoprogenetrix","myoprogenitor",,,,,,"mioprogenitoare",,,,,,,,
"carotenoideum","carotenoid",,,,,,"carotenoidă",,,,,,,,
"caroticum","carotid",,,,,,"carotic",,,,,,,,
"catagenus","catagen",,,,,,"catagen",,,,,,,,
"catenaformis","chain",,,,,,"în formă de lanț",,,,,,,,
"catilago","cartilage",,,,,,"cartilaj",,,,,,,,
"caveola","caveola",,,,,,"caveolă",,,,,,,,
"caveosoma","caveosome",,,,,,"caveozom",,,,,,,,
"Cellula","cell",,,,,,"celulă",,,,,,,,
"cellulare","cellular",,,,,,"celular",,,,,,,,
"cellulares","celular",,,,,,"celulare",,,,,,,,
"cellulas","cells",,,,,,"celule",,,,,,,,
"cellulomatricalis","cell matrix",,,,,,"celulomatriceală",,,,,,,,
"cellulosa","cellular",,,,,,"celulară",,,,,,,,
"cementalis","cement",,,,,,"de cement",,,,,,,,
"cementoalveolaris","cement alveolar ",,,,,,"cemento-alveolară",,,,,,,,
"cementoblastus","cementoblast",,,,,,"cementoblast",,,,,,,,
"cementocytus","cementocyte",,,,,,"cementocit",,,,,,,,
"centralis","central",,,,,,"central",,,,,,,,
"centrioli","centriolar",,,,,,"centriolar",,,,,,,,
"centriolocentromeralis","centriolocentromeric ",,,,,,"centriolocentromerică",,,,,,,,
"centriolum","centriole",,,,,,"centriol",,,,,,,,
"centroacinosa","centroacinar",,,,,,"centroacinară",,,,,,,,
"centromeri","recombination",,"of centromerus","*",,,"centromerică",,,,,,,,
"centromerus","centromere",,,,,,"centromer",,,,,,,,
"centrosoma","centrosome",,,,,,"centrozom",,,,,,,,
"centrosomatica","centrosomal ",,,,,,"centrozomal",,,,,,,,
"cepiforme","onionoid",,,,,,"cepiform",,,,,,,,
"cerumen","cerumen",,,,,,"cerumen",,,,,,,,
"ceruminocytus","secretory cell",,,,,,"ceruminocit",,"celulă secretoare",,,,,,
"ceruminosa","ceruminous",,,,,,"ceruminoasă",,,,,,,,
"cfc","cfc",,"cell forming colonies",,"cfu",,"cfc",,"celulă formatoare de colonii",,"ufc",,"unitate formatoare de colonii",,
"chemica","chemical",,,,,,"chimică",,,,,,,,
"cholangiocytus","cholangiocyte",,,,,,"colangiocit",,,,,,,,
"cholecystocytus","cholecystocyte",,,,,,"colecistocit",,,,,,,,
"cholinergicum","cholinergic",,,,,,"colinergică",,,,,,,,
"chondroblastus","chondroblast",,,,,,"condroblast",,,,,,,,
"chondroclastus","chondroclast",,,,,,"condroclast",,,,,,,,
"chondrocytorum","chondrocyte ",,,,,,"condrocitar",,,,,,,,
"chondrocytus","chondrocyte ",,,,,,"condrocit",,,,,,,,
"chondrogenicum","chondrogenic",,,,,,"condrogenic",,,,,,,,
"chondrohistogenesis","chondrogenesis",,,,,,"condrogeneză",,,,,,,,
"chondroideus","chondroid",,,,,,"condroid",,,,,,,,
"chondroidocytus","chondroidocyte",,,,,,"condroidocit",,,,,,,,
"chondroidogenesis","chondroidogenesis",,,,,,"condroidogeneză",,,,,,,,
"chondronum","chondron",,,,,,"condron",,,,,,,,
"chromatidea","chromatid",,,,,,"cromatidă",,,,,,,,
"chromatini","chromatin",,,,,,"cromatinică",,,,,,,,
"chromatinum","chromatinum",,,,,,"cromatină",,,,,,,,
"chromatoidea","chromatin",,,,,,"cromatinică",,,,,,,,
"chromatoideum","chromatoid ",,,,,,"cromatoid",,,,,,,,
"chromatophilica","chromatophilic ",,,,,,"cromatofilică",,,,,,,,
"chromatophorocytus","chromatophore cell",,,,,,"celulă cromatoforă",,,,,,,,
"chromatosoma","chromatosome",,,,,,"cromatozom",,,,,,,,
"chromophilus","chromophil",,,,,,"cromofil",,,,,,,,
"chromophoba","chromophobe",,,,,,"cromofobă",,,,,,,,
"chromophobus","chromophobe",,,,,,"cromofob",,,,,,,,
"chromosoma","chromosome",,,,,,"cromozom",,,,,,,,
"chromosomale","chromosomal",,,,,,"cromozomal",,,,,,,,
"chromosomatis","of chromosome",,,,,,"cromozomal",,"cromozomali",,"al cromozomului",,"ai cromozomului",,
"chylomicron","chylomicron",,,,,,"chilomicron",,,,,,,,
"ciliatum","ciliated",,,,,,"ciliat",,,,,,,,
"ciliatus","ciliated",,,,,,"ciliat",,,,,,,,
