"","id","upd","term_id","lang","part_speech","gender","term","source","description","wiki","email","pages"
"185",185,NA,"10205","la",NA,NA,"nucleolus",NA,NA,NA,NA,NA
"186",186,NA,"10005","la",NA,NA,"nucleus",NA,NA,NA,NA,NA
"187",187,NA,"11714","la",NA,NA,"dentinoblastus",NA,NA,NA,NA,NA
"188",188,NA,"11714","la",NA,NA,"odontoblastus",NA,NA,NA,NA,NA
"189",189,NA,"11357","la",NA,NA,"oligodendrocytus",NA,NA,NA,NA,NA
"190",190,NA,"11546","la",NA,NA,"palatum",NA,NA,NA,NA,NA
"191",191,NA,"12061","la",NA,NA,"pancreas",NA,NA,NA,NA,NA
"192",192,NA,"10529","la",NA,NA,"parenchyma",NA,NA,NA,NA,NA
"193",193,NA,"11198","la",NA,NA,"perikaryon",NA,NA,NA,NA,NA
"194",194,NA,"11198","la",NA,NA,"neurosoma",NA,NA,NA,NA,NA
"195",195,NA,"11198","la",NA,NA,"soma",NA,NA,NA,NA,NA
"196",196,NA,"11198","la",NA,NA,"corpus",NA,NA,NA,NA,NA
"197",197,NA,"11198","la",NA,NA,"neuronis",NA,NA,NA,NA,NA
"198",198,NA,"13109","la",NA,NA,"pericytus",NA,NA,NA,NA,NA
"199",199,NA,"13612","la",NA,NA,"perineurium",NA,NA,NA,NA,NA
"200",200,NA,"10863","la",NA,NA,"periosteum",NA,NA,NA,NA,NA
"201",201,NA,"13354","la",NA,NA,"pia",NA,NA,NA,NA,NA
"202",202,NA,"13354","la",NA,NA,"mater",NA,NA,NA,NA,NA
"203",203,NA,"10310","la",NA,NA,"pinocytosis",NA,NA,NA,NA,NA
"204",204,NA,"11000","la",NA,NA,"plasma",NA,NA,NA,NA,NA
"205",205,NA,"10017","la",NA,NA,"plasmalemma",NA,NA,NA,NA,NA
"206",206,NA,"10017","la",NA,NA,"membrana",NA,NA,NA,NA,NA
"207",207,NA,"10017","la",NA,NA,"cellularis",NA,NA,NA,NA,NA
"208",208,NA,"13361","la",NA,NA,"plexus",NA,NA,NA,NA,NA
"209",209,NA,"13361","la",NA,NA,"choroideus",NA,NA,NA,NA,NA
"210",210,NA,"10263","la",NA,NA,"polyribosoma",NA,NA,NA,NA,NA
"211",211,NA,"11282","la",NA,NA,"receptor",NA,NA,NA,NA,NA
"212",212,NA,"10244","la",NA,NA,"reticulum",NA,NA,NA,NA,NA
"213",213,NA,"10244","la",NA,NA,"endoplasmicum",NA,NA,NA,NA,NA
"214",214,NA,"10256","la",NA,NA,"reticulum",NA,NA,NA,NA,NA
"215",215,NA,"10256","la",NA,NA,"endoplasmicum",NA,NA,NA,NA,NA
"216",216,NA,"10256","la",NA,NA,"non",NA,NA,NA,NA,NA
"217",217,NA,"10256","la",NA,NA,"granulosum",NA,NA,NA,NA,NA
"218",218,NA,"10254","la",NA,NA,"reticulum",NA,NA,NA,NA,NA
"219",219,NA,"10254","la",NA,NA,"endoplasmicum",NA,NA,NA,NA,NA
"220",220,NA,"10254","la",NA,NA,"granulosum",NA,NA,NA,NA,NA
"221",221,NA,"11300","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"222",222,NA,"11272","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"223",223,NA,"11272","la",NA,NA,"axodendritica",NA,NA,NA,NA,NA
"224",224,NA,"11276","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"225",225,NA,"11276","la",NA,NA,"axosomatica",NA,NA,NA,NA,NA
"226",226,NA,"13306","la",NA,NA,"systema",NA,NA,NA,NA,NA
"227",227,NA,"13306","la",NA,NA,"nervosum",NA,NA,NA,NA,NA
"228",228,NA,"13307","la",NA,NA,"pars",NA,NA,NA,NA,NA
"229",229,NA,"13307","la",NA,NA,"centralis",NA,NA,NA,NA,NA
"230",230,NA,"13307","la",NA,NA,"systema",NA,NA,NA,NA,NA
"231",231,NA,"13307","la",NA,NA,"nervosum",NA,NA,NA,NA,NA
"232",232,NA,"13307","la",NA,NA,"centrale",NA,NA,NA,NA,NA
"233",233,NA,"12089","la",NA,NA,"systema",NA,NA,NA,NA,NA
"234",234,NA,"12089","la",NA,NA,"respiratorium",NA,NA,NA,NA,NA
"235",235,NA,"12233","la",NA,NA,"systema",NA,NA,NA,NA,NA
"236",236,NA,"12233","la",NA,NA,"urinarium",NA,NA,NA,NA,NA
"237",237,NA,"13337","la",NA,NA,"spatium",NA,NA,NA,NA,NA
"238",238,NA,"13337","la",NA,NA,"subarachnoideum",NA,NA,NA,NA,NA
"239",239,NA,"13337","la",NA,NA,"spatium",NA,NA,NA,NA,NA
"240",240,NA,"13337","la",NA,NA,"leptomeningeum",NA,NA,NA,NA,NA
"241",241,NA,"11235","la",NA,NA,"gemmula",NA,NA,NA,NA,NA
"242",242,NA,"11235","la",NA,NA,"dendritica",NA,NA,NA,NA,NA
"243",243,NA,"11390","la",NA,NA,"nodus",NA,NA,NA,NA,NA
"244",244,NA,"11390","la",NA,NA,"interruptionis",NA,NA,NA,NA,NA
"245",245,NA,"11390","la",NA,NA,"myelini",NA,NA,NA,NA,NA
"246",246,NA,"13392","la",NA,NA,"stratum",NA,NA,NA,NA,NA
"247",247,NA,"13392","la",NA,NA,"granulosum",NA,NA,NA,NA,NA
"248",248,NA,"13406","la",NA,NA,"stratum",NA,NA,NA,NA,NA
"249",249,NA,"13406","la",NA,NA,"moleculare",NA,NA,NA,NA,NA
"250",250,NA,"10530","la",NA,NA,"stroma",NA,NA,NA,NA,NA
"251",251,NA,"13309","la",NA,NA,"substantia",NA,NA,NA,NA,NA
"252",252,NA,"13309","la",NA,NA,"alba",NA,NA,NA,NA,NA
"253",253,NA,"13308","la",NA,NA,"substantia",NA,NA,NA,NA,NA
"254",254,NA,"13308","la",NA,NA,"grisea",NA,NA,NA,NA,NA
"255",255,NA,"11382","la",NA,NA,"stratum",NA,NA,NA,NA,NA
"256",256,NA,"11382","la",NA,NA,"myelini",NA,NA,NA,NA,NA
"257",257,NA,"14090","la",NA,NA,"terminatio",NA,NA,NA,NA,NA
"258",258,NA,"14090","la",NA,NA,"neuralis",NA,NA,NA,NA,NA
"259",259,NA,"11269","la",NA,NA,"terminationes",NA,NA,NA,NA,NA
"260",260,NA,"11269","la",NA,NA,"neurales",NA,NA,NA,NA,NA
"261",261,NA,"10800","la",NA,NA,"textus",NA,NA,NA,NA,NA
"262",262,NA,"10800","la",NA,NA,"adiposus",NA,NA,NA,NA,NA
"263",263,NA,"10785","la",NA,NA,"textus",NA,NA,NA,NA,NA
"264",264,NA,"10785","la",NA,NA,"connectivus",NA,NA,NA,NA,NA
"265",265,NA,"10785","la",NA,NA,"compactus",NA,NA,NA,NA,NA
"266",266,NA,"11720","la",NA,NA,"textus",NA,NA,NA,NA,NA
"267",267,NA,"11720","la",NA,NA,"connectivus",NA,NA,NA,NA,NA
"268",268,NA,"11720","la",NA,NA,"compactus",NA,NA,NA,NA,NA
"269",269,NA,"10784","la",NA,NA,"textus",NA,NA,NA,NA,NA
"270",270,NA,"10784","la",NA,NA,"connectivus",NA,NA,NA,NA,NA
"271",271,NA,"10784","la",NA,NA,"laxus",NA,NA,NA,NA,NA
"272",272,NA,"12721","la",NA,NA,"textus",NA,NA,NA,NA,NA
"273",273,NA,"12721","la",NA,NA,"muscularis",NA,NA,NA,NA,NA
"274",274,NA,"12721","la",NA,NA,"levis",NA,NA,NA,NA,NA
"275",275,NA,"11193","la",NA,NA,"textus",NA,NA,NA,NA,NA
"276",276,NA,"11193","la",NA,NA,"nervosus",NA,NA,NA,NA,NA
"277",277,NA,"10839","la",NA,NA,"textus",NA,NA,NA,NA,NA
"278",278,NA,"10839","la",NA,NA,"osseus",NA,NA,NA,NA,NA
"279",279,NA,"10317","la",NA,NA,"vesicula",NA,NA,NA,NA,NA
"280",280,NA,"10317","la",NA,NA,"pinocytotica",NA,NA,NA,NA,NA
"281",281,NA,"10317","la",NA,NA,"pinosoma",NA,NA,NA,NA,NA
"282",282,NA,"13342","la",NA,NA,"villus",NA,NA,NA,NA,NA
"283",283,NA,"13342","la",NA,NA,"arachnoideus",NA,NA,NA,NA,NA
"284",284,NA,"10120","la",NA,NA,"desmosoma",NA,NA,NA,NA,NA
"285",285,NA,"10120","la",NA,NA,"macula",NA,NA,NA,NA,NA
"286",286,NA,"10120","la",NA,NA,"adhaerens",NA,NA,NA,NA,NA
"287",287,NA,"10228","la",NA,NA,"myofilamentum",NA,NA,NA,NA,NA
"288",288,NA,"10228","la",NA,NA,"tenue",NA,NA,NA,NA,NA
"289",289,NA,"10228","la",NA,NA,"filamentum",NA,NA,NA,NA,NA
"290",290,NA,"10228","la",NA,NA,"actini",NA,NA,NA,NA,NA
"291",291,NA,"10571","la",NA,NA,"myofilamentum",NA,NA,NA,NA,NA
"292",292,NA,"10571","la",NA,NA,"tenue",NA,NA,NA,NA,NA
"293",293,NA,"10571","la",NA,NA,"filamentum",NA,NA,NA,NA,NA
"294",294,NA,"10571","la",NA,NA,"actini",NA,NA,NA,NA,NA
"295",295,NA,"11168","la",NA,NA,"macula",NA,NA,NA,NA,NA
"296",296,NA,"11168","la",NA,NA,"adhaerens",NA,NA,NA,NA,NA
"297",297,NA,"11168","la",NA,NA,"desmosoma",NA,NA,NA,NA,NA
"298",298,NA,"12213","la",NA,NA,"fibra",NA,NA,NA,NA,NA
"299",299,NA,"12213","la",NA,NA,"collageni",NA,NA,NA,NA,NA
"300",300,NA,"10570","la",NA,NA,"nexus",NA,NA,NA,NA,NA
"301",301,NA,"10570","la",NA,NA,"macula",NA,NA,NA,NA,NA
"302",302,NA,"10570","la",NA,NA,"communicans",NA,NA,NA,NA,NA
"303",303,NA,"10570","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"304",304,NA,"10570","la",NA,NA,"non",NA,NA,NA,NA,NA
"305",305,NA,"10570","la",NA,NA,"vesicularis",NA,NA,NA,NA,NA
"306",306,NA,"10570","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"307",307,NA,"10570","la",NA,NA,"electrica",NA,NA,NA,NA,NA
"308",308,NA,"10817","la",NA,NA,"fibra",NA,NA,NA,NA,NA
"309",309,NA,"10817","la",NA,NA,"collageni",NA,NA,NA,NA,NA
"310",310,NA,"11725","la",NA,NA,"ligamentum",NA,NA,NA,NA,NA
"311",311,NA,"11725","la",NA,NA,"periodontale",NA,NA,NA,NA,NA
"312",312,NA,"12945","la",NA,NA,"pinealocytus",NA,NA,NA,NA,NA
"313",313,NA,"12945","la",NA,NA,"endocrinocytus",NA,NA,NA,NA,NA
"314",314,NA,"12945","la",NA,NA,"pinealis",NA,NA,NA,NA,NA
"315",315,NA,"12967","la",NA,NA,"parathyrocytus",NA,NA,NA,NA,NA
